date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:27	152148/152148	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:26%20GMT	/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/index.html	(from )
11:22:28	346/346	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202026%2015:22:26%20GMT	/robots.txt		(from )
11:22:29	12302/12302	---MCZ	200	added ('OK')	application/javascript	etag:W/12493-1684460897560.9631	/wp-content/plugins/custom-fonts/js/webfont.js	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/plugins/custom-fonts/js/webfont.js	(from /)
11:22:29	125938/125938	---MCZ	200	added ('OK')	text/css	etag:W/%22698e7b65-1ebf2%22	/wp-content/plugins/gutenberg-core/v22.5.3/build/styles/block-library/style.min.css?m=1770945363i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/plugins/gutenberg-core/v22.5.3/build/styles/block-library/style.min460f.css	(from /)
11:22:29	1650/1650	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Mar%202026%2015:22:29%20GMT	/feed/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/feed/index.html	(from /)
11:22:29	16120/16120	---MCZ	200	added ('OK')	text/css	etag:W/%22698e7b65-3ef8%22	/wp-content/plugins/gutenberg-core/v22.5.3/build/styles/block-library/gallery/style.min.css?m=1770945363i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/plugins/gutenberg-core/v22.5.3/build/styles/block-library/gallery/style.min460f.css	(from /)
11:22:29	52145/52145	---MCZ	200	added ('OK')	text/css	etag:W/58957-1684460885543.639	/wp-content/plugins/gutenberg-blocks/jetpack-layout-grid/style.css?m=1643200914i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/plugins/gutenberg-blocks/jetpack-layout-grid/style5afa.css	(from /)
11:22:30	2870/2870	---MCZ	200	added ('OK')	text/css	etag:W/4050-1738188138316.6445	/wp-content/themes/pub/varia/print.css?m=1738187798i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/themes/pub/varia/printa65f.css	(from /)
11:22:30	84204/84204	---MCZ	200	added ('OK')	text/css	etag:W/107811-1738187888336.5293	/wp-content/themes/pub/exford/style.css?m=1738187798i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/themes/pub/exford/stylea65f.css	(from /)
11:22:30	317/317	---M--	200	added ('OK')	text/css	etag:W/471-1684465202053.7236	/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/themes/h4/globalf753.css	(from /)
11:22:30	919/919	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%223ab628b076c8c86bf1a3370b5be481e9%22	/comments/feed/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/comments/feed/index.html	(from /)
11:22:31	10760/10760	---MCZ	200	added ('OK')	text/css	etag:W/%226900820d-2a08%22	/_static/??/wp-content/mu-plugins/widgets/eu-cookie-law/templates/style.css,/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1761640963j&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/_static/indexa011.html	(from /)
11:22:31	865/865	---MCZ	200	added ('OK')	text/xml	date:Mon,%2009%20Mar%202026%2015:22:31%20GMT	/xmlrpc.php?rsd	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/xmlrpc0db0.php	(from /)
11:22:31	134988/134988	---MCZ	200	added ('OK')	text/css	etag:W/%226466e620-20f4c%22	/_static/??-eJx9jUEOwjAMBD+EE6UgKAfEW5rUAtM4ieqUit/jCqkgDr1Y9npn184FQk4VU7UlTjdKYkP2MYdBbGNcaxwIcYkIIz7NwfYkdXWA1FdEE0R29ieIJ/hmjag6l64uDsaeOozIatvC5qIMeF9GFAGdTBNDvSso23W8REOkAfWSP+WDkk25ktKyLsvjyhd3bF27b5rz6fEGYXdnlg==&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/_static/index2769.html	(from /)
11:22:31	1485/1485	---MCZ	200	added ('OK')	application/xml	date:Mon,%2009%20Mar%202026%2015:22:31%20GMT	/osd.xml	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/osd.xml	(from /)
11:22:31	97349/97349	---MCZ	200	added ('OK')	text/css	etag:W/%22679aa470-17c45%22	/_static/??-eJx9i0EOwiAQAD8kbhoP4MH4FopbugZ2CSxWf2+NlxqNt5lkBpZigrAiK+iMGRuUPgLeJ6kXaPpIuA+t7eB3d/OVPBCHd2qWEiR/DbmbknokblBxTBJXjLBWG/03RRSTJHgl4Q8xU/JUX+s5nwZ7cIOz9uiuT/ZuT0M=&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/_static/indexdeca.html	(from /)
11:22:31	1569/1569	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2015:26:25%20GMT	/wp-content/uploads/2022/01/cropped-favicon-wicys.png?w=32	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2022/01/cropped-favicon-wicys76ca.png	(from /)
11:22:31	8024/8024	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2015:26:25%20GMT	/wp-content/uploads/2022/01/cropped-favicon-wicys.png?w=192	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2022/01/cropped-favicon-wicys9939.png	(from /)
11:22:32	7156/7156	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jan%202022%2015:26:25%20GMT	/wp-content/uploads/2022/01/cropped-favicon-wicys.png?w=180	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2022/01/cropped-favicon-wicysad83.png	(from /)
11:22:32	6385/6385	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668d3709-18f1%22	/_static/??/wp-content/js/rlt-proxy.js,/wp-content/blog-plugins/wordads-classes/js/cmp/v2/cmp-non-gdpr.js?m=1720530689j	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/_static/indexc875.html	(from /)
11:22:32	33271/33271	---MCZ	200	added ('OK')	text/css	etag:W/%226998ab5e-81f7%22	/_static/??-eJyNjMEKgzAQBX+o9hkFPYmfUnS7SDTZBDeLv18E69njDMPgyBUlKSwF0aocbPGiWLnkibaLoSb4eCHMIdGm0MNn3t+k+sLjQUxfC6ygaU+mHO7mL87fGAfX965zbe2a9QeuJDqa&cssminify=yes	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/_static/index4a28.html	(from /)
11:22:34	115391/115391	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:33%20GMT	/about-us/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/about-us/index.html	(from /)
11:22:34	872202/872202	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Sep%202025%2014:35:15%20GMT	/wp-content/uploads/2025/09/iceskatingphoto-1.jpg	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2025/09/iceskatingphoto-1.jpg	(from /)
11:22:40	122618/122618	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:35%20GMT	/e-board/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/e-board/index.html	(from /)
11:22:40	1991855/1991855	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Sep%202025%2014:37:52%20GMT	/wp-content/uploads/2025/09/escaperoomphotofromconf2025.jpg	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2025/09/escaperoomphotofromconf2025.jpg	(from /)
11:22:40	3059592/3059592	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Sep%202025%2014:30:45%20GMT	/wp-content/uploads/2025/09/applepicking2024group.jpg	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2025/09/applepicking2024group.jpg	(from /)
11:22:41	106935/106935	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:40%20GMT	/schedule/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/schedule/index.html	(from /)
11:22:46	109822/109822	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:41%20GMT	/research/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/research/index.html	(from /)
11:22:48	118094/118094	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202026%2015:22:41%20GMT	/sponsor-us/	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/sponsor-us/index.html	(from /)
11:22:49	4299/4299	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jan%202022%2019:14:06%20GMT	/wp-content/uploads/2022/01/external-content.duckduckgo.com_-1.png?w=740	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2022/01/external-content.duckduckgo.com_-1d6d1.png	(from /)
11:22:51	11627/11627	---M--	200	added ('OK')	image/png	date:Mon,%2024%20Jan%202022%2007:24:02%20GMT	/wp-content/uploads/2022/01/wic-logo.png?w=272	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2022/01/wic-logob940.png	(from /)
11:22:51	2598245/2598245	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Sep%202025%2014:27:31%20GMT	/wp-content/uploads/2025/09/img_5215-1.jpg	C:/My%20Web%20Sites/https___wicysrit.wordpress.com_/wicysrit.wordpress.com/wp-content/uploads/2025/09/img_5215-1.jpg	(from /)
